text,label,label_id
Jankipuram mein bijli ka pole gir gaya. Kai log zakhmi. Ambulance bhejo.,critical,3
Raw sewage on road near Vibhuti Khand since yesterday. Children falling sick. Jaldi kuch karo please.,high,2
Dustbin near Chinhat slightly overflowing. Needs cleaning. Kindly take action.,low,0
Thakurganj ke paas nali jam gayi. Badboo aa rahi hai. Log pareshan hain.,medium,1
Again reporting: Paint peeling from bridge wall near Hazratganj. Structural check needed.,low,0
HIGH VOLTAGE POLE FALLEN ON ROAD NEAR KANPUR ROAD. MULTIPLE PEOPLE INJURED.,critical,3
Street lights on Kanpur Road road have been off since last night. Night travel unsafe.,medium,1
FLOOD WATER 4 FEET HIGH NEAR SECTOR 14. ELDERLY AND CHILDREN TRAPPED. HELP NEEDED NOW.,critical,3
Chinhat mein since last night se bijli nahi hai raat ko. Log pareshan hain.,medium,1
Road has partially collapsed near Telibagh. Heavy vehicles cannot pass. This has been reported before with no action,high,2
Again reporting: Large section of wall collapsed near Civil Lines. Road partially blocked.,high,2
near the main market ke paas ek light thodi weak ho gayi hai. Kaam chal raha hai. No response to previous complaints.,low,0
Water pressure slightly low near Sector 14. Not a big issue.,low,0
Gomti Nagar ke paas diwar gir gayi. Rasta block ho gaya hai. Daily inconvenience for everyone.,high,2
Dustbin near Rajajipuram slightly overflowing. Needs cleaning.,low,0
Minor pipe leak near Nishatganj. Small puddle forming.,low,0
Drain clogged near Aliganj. Sewage smell affecting nearby residents. Residents are very concerned.,medium,1
Mahanagar ke paas paani ki pipe phut gayi. Sadak par paani bhar gaya,high,2
AMINABAD KE PAAS BIJLI KA KHAMBA JHUK GAYA HAI. BAHUT KHATARNAK HAI.,high,2
Aliganj mein for 2 days se bijli nahi hai raat ko. Log pareshan hain.,medium,1
Waterlogging near Civil Lines for 2 days. Road is difficult to cross on foot.,medium,1
Again reporting: Large dangerous pothole near Aminabad has caused 2 accidents this week.,high,2
Hazratganj ke paas diwar gir gayi. Rasta block ho gaya hai.,high,2
Drain clogged near Telibagh. Sewage smell affecting nearby residents.,medium,1
Jankipuram ke paas diwar mein thodi si darar aa gayi. Koi khatre ki baat nahi.,low,0
Mild smell from drain near near the main market.,low,0
SECTOR 14 KE PAAS DIWAR GIR GAYI. RASTA BLOCK HO GAYA HAI. NO RESPONSE TO PREVIOUS COMPLAINTS.,high,2
Faizabad Road ke paas sadak mein gaddha ho gaya. Gaadiyaan slow ho rahi hain.,medium,1
Aminabad ke paas building ki diwar mein dararein badh rahi hain.,medium,1
A pothole has developed near Chinhat. Vehicles are slowing down and swerving.,medium,1
Waterlogging near Nishatganj for 2 days. Road is difficult to cross on foot.,medium,1
Large dangerous pothole near Faizabad Road has caused 2 accidents this week.,high,2
Aliganj ke paas diwar gir gayi. Rasta block ho gaya hai.,high,2
behind the bus stand mein sewage overflow ho raha hai. Ghar mein ghus raha hai.,high,2
Thakurganj ke paas nali jam gayi. Badboo aa rahi hai. Log pareshan hain. Daily inconvenience for everyone.,medium,1
Drain clogged near Civil Lines. Sewage smell affecting nearby residents.,medium,1
Jankipuram mein paani since last night se nahi aa raha. Log tank se kaam chala rahe hain. Daily inconvenience for everyone.,medium,1
Nishatganj ke paas diwar mein thodi si darar aa gayi. Koi khatre ki baat nahi.,low,0
Drainage blocked near near the main market. Water standing on road after every rain. Pehle,medium,1
Water contamination reported near Jankipuram. People falling,high,2
Major road collapse near Nishatganj. Multiple vehicles stuck. Emergency.,critical,3
Water pressure slightly low near Nishatganj. Not a big issue.,low,0
Again reporting: Thakurganj mein bijli ka pole gir gaya. Kai log zakhmi. Ambulance bhejo.,critical,3
Faizabad Road ke paas nali jam gayi. Badboo aa,medium,1
Faizabad Road ke paas paani mein zeher milne ki khabar. Log beemar pad rahe hain.,critical,3
Mahanagar mein for a week se paani bhara hua hai. Logon ko dikkat ho rahi hai.,medium,1
Again reporting: Street lights on Hazratganj road have been off for a week. Night travel unsafe.,medium,1
There is a small crack on the road near Indira Nagar. Not affecting traffic yet.,low,0
There is a small crack on the road near,low,0
Street light near Jankipuram is flickering. Still partially working.,low,0
Gomti Nagar mein sewage overflow ho raha hai. Ghar mein ghus raha hai. This,high,2
Chowk mein bijli ka pole gir gaya. Kai log zakhmi. Ambulance bhejo.,critical,3
A pothole has developed near Kanpur Road. Vehicles are slowing down and swerving.,medium,1
One streetlight out near Jankipuram. Area still lit by other lights.,low,0
Aliganj mein bijli ka pole gir gaya. Kai log zakhmi. Ambulance bhejo. No response to previous complaints.,critical,3
Chowk mein since last night se paani bhara hua hai. Logon ko dikkat ho rahi hai.,medium,1
CIVIL LINES KE PAAS PAANI MEIN ZEHER MILNE KI KHABAR. LOG BEEMAR PAD RAHE HAIN.,critical,3
Aminabad ke paas imarat gir gayi. Log malaabe mein phanse hain. MADAD CHAHIYE,critical,3
Contaminated water causing mass illness near Jankipuram. 20+ hospitalised. Daily inconvenience for everyone.,critical,3
Cracks developing on road overpass near Telibagh. Needs inspection.,medium,1
Pipe leaking near behind the bus stand for a week. Water wasted and road wet.,medium,1
Paint peeling from bridge wall near Kanpur Road. Structural check needed.,low,0
Minor road damage near Thakurganj. Vehicles passing without issue.,low,0
There is a small crack on the road near Aliganj. Not affecting traffic yet.,low,0
Again reporting: Mild smell from drain near Aminabad. Not,low,0
AGAIN REPORTING: SCHOOL ROOF COLLAPSED NEAR INDIRA NAGAR. STUDENTS WERE INSIDE. RESCUE NEEDED.,critical,3
"Sadak par ek chota sa gaddha hai Civil Lines ke paas. Abhi koi accident nahi hua. Pehle bhi complaint ki thi, koi action nahi",low,0
Garbage not collected from Sector 14 since last night. Smell and flies increasing,medium,1
Sultanpur Road mein paani for 2 days se nahi aa raha. Log tank se kaam chala rahe hain. Kindly take action.,medium,1
Mahanagar mein paani since yesterday se nahi aa raha. Log tank se kaam chala rahe hain.,medium,1
"Sector 14 ke paas nali jam gayi. Badboo aa rahi hai. Log pareshan hain. Pehle bhi complaint ki thi, koi action nahi.",medium,1
Minor waterlogging near Faizabad Road after rain. Clears within an hour.,low,0
Road completely collapsed near Nishatganj. Sinkhole formed. Area cordoned off.,critical,3
